Timestamp,What is your gender?,Age,Height,Country Living in,Marital Status,Educational Qualification,Occupation,Verified Annual Income,Religion,Mother Tongue,Food Preference,Smoking Habit,Drinking Habit,Having Pets,Having Kids,Music Taste,Movie Taste,Family Background,Social Media Activity,Owning a personal car,Owning a House
06/08/2020 00:21:46,Male,1,4,2,5,5,4,4,3,2,3,5,4,4,5,1,2,,,,
06/08/2020 00:36:01,Female,5,4,3,5,5,5,4,4,0,3,4,3,3,5,3,2,,,,
06/08/2020 00:36:05,Female,5,4,3,5,5,5,4,4,0,3,4,3,3,5,3,2,,,,
06/08/2020 00:36:21,Female,5,3,5,5,2,2,2,5,0,5,2,2,0,5,3,5,,,,
06/08/2020 03:45:18,Female,2,4,3,3,4,4,2,0,0,3,0,0,0,2,5,1,0,0,0,0
06/08/2020 11:16:54,Male,5,5,2,5,5,5,5,2,2,4,2,2,3,5,3,4,2,4,2,4
06/08/2020 13:07:36,Female,2,4,3,3,4,4,2,0,0,3,0,0,0,2,5,1,0,0,0,0
06/08/2020 16:02:14,Female,3,4,3,5,5,5,5,5,2,3,0,0,0,5,4,4,4,0,0,0
06/08/2020 20:19:05,Male,3,3,2,4,3,3,3,4,3,3,2,1,1,5,3,3,3,2,2,2
06/08/2020 20:19:38,Male,4,4,4,5,4,4,3,2,2,2,2,4,2,5,1,1,4,1,0,1
06/08/2020 20:22:37,Male,3,3,1,4,3,4,3,2,1,3,3,4,4,4,5,4,4,2,0,0
06/08/2020 20:40:16,Male,3,4,5,5,4,4,4,3,3,4,4,5,5,0,4,4,3,4,3,3
06/08/2020 21:14:10,Male,4,4,5,5,5,3,3,4,4,4,4,5,2,5,1,2,4,1,0,0
06/08/2020 21:39:42,Male,3,4,3,4,4,4,2,5,2,4,4,4,2,4,3,3,5,2,0,0
06/08/2020 22:22:29,Male,4,3,5,5,5,5,3,3,2,4,4,4,5,4,4,4,5,3,1,1
06/08/2020 23:29:00,Female,3,3,3,5,4,4,4,4,4,5,5,4,5,5,3,2,3,2,5,5
06/08/2020 23:29:19,Female,4,3,4,5,5,5,3,4,5,5,5,5,5,3,3,2,5,3,3,5
06/08/2020 23:32:27,Female,0,5,0,5,3,3,5,5,5,0,4,0,1,1,0,0,5,0,1,5
06/08/2020 23:35:45,Female,5,4,5,5,5,5,5,5,5,3,5,5,3,5,3,3,5,3,4,4
06/08/2020 23:36:11,Female,1,1,4,4,5,5,4,5,4,2,4,5,4,4,1,2,4,2,4,4
06/08/2020 23:48:04,Female,5,3,2,5,4,4,4,3,2,2,5,5,3,5,3,4,4,0,1,1
07/08/2020 00:08:29,Female,5,5,2,5,5,5,5,2,1,5,5,5,0,5,5,5,5,0,3,3
07/08/2020 00:25:19,Female,5,4,4,5,5,5,4,5,4,5,3,4,5,4,0,0,5,2,0,1
07/08/2020 00:32:43,Female,4,4,5,5,5,5,5,5,3,4,5,5,2,2,3,3,5,1,4,4
07/08/2020 00:57:20,Male,1,2,4,4,4,4,4,0,4,3,2,3,2,1,4,4,3,3,0,0
07/08/2020 01:01:39,Female,1,2,0,4,3,3,2,2,1,3,5,3,4,3,3,3,4,1,2,2
07/08/2020 06:57:58,Male,4,3,4,5,5,3,3,5,2,4,5,5,0,5,0,0,3,3,0,0
07/08/2020 07:52:53,Female,3,5,3,5,4,4,4,2,5,4,4,4,4,0,3,2,4,4,1,3
07/08/2020 09:02:47,Female,3,4,4,4,5,5,4,5,3,3,4,4,4,5,2,2,4,2,4,4
07/08/2020 09:26:04,Female,4,4,5,4,5,4,4,4,3,4,4,4,3,4,2,2,3,3,3,3
07/08/2020 09:31:33,Male,2,3,3,3,4,3,1,3,0,3,2,2,5,3,4,5,4,5,1,2
07/08/2020 09:41:54,Female,5,4,4,5,5,5,5,5,4,3,5,5,3,5,3,3,5,3,4,5
07/08/2020 10:19:43,Female,5,3,5,5,5,5,5,3,3,3,5,5,3,2,3,3,5,4,3,4
07/08/2020 11:03:12,Male,4,3,4,5,4,4,2,5,4,3,2,2,1,5,3,3,4,4,0,1
07/08/2020 13:11:38,Female,3,3,3,5,4,4,4,4,4,5,5,4,5,5,3,2,3,2,5,5
07/08/2020 13:55:36,Female,4,4,5,5,4,5,5,3,4,2,2,2,0,5,0,0,4,1,5,4
07/08/2020 16:04:09,Male,2,2,2,5,3,3,2,5,3,3,5,5,3,5,3,3,3,2,2,2
08/08/2020 13:49:30,Male,2,3,3,3,4,3,1,3,0,3,2,2,5,3,4,5,4,5,1,2